TIME(S),GENERATION,COUNT,MALE%,SIZE,SPEED,V_RADIUS,V_ANGLE,VA_BOOST_LIKELIHOOD,VA_BOOST_STRENGTH,M_ENERGY_TO_OFFSPRING%,F_ENERGY_TO_OFFSPRING%,MTF_OFFSPRING%,M_DESIRABILITY%,F_STANDARDS%,F_GESTATION_PERIOD,MTV_DIG%,MATE_ENERGY_THRESH,BOREDOM_THRESH,EXPLOREMTP
1561,9,70,0.4428571,2.818104,0.933327,15.9911,8.79504,0,0.1358173,0.2748206,0.2952962,0.6038201,0.4361815,0.7376501,6.16911,0.3885431,0.3935643,10.83166,17.39496,
1581,9,95,0.4210526,2.876491,0.9327441,14.64387,8.554365,0,0.1416681,0.2673809,0.2940615,0.5638803,0.4204664,0.7405201,5.856235,0.3936299,0.3754149,11.37533,17.4845,
1601,10,146,0.4178082,2.932357,0.934786,13.47502,8.350751,0,0.1453563,0.2605634,0.2760543,0.5495515,0.4034436,0.7396345,5.627968,0.3941333,0.3687817,11.80767,17.99984,
1621,11,230,0.4304348,2.955622,0.9375241,13.74788,8.296723,0,0.1474076,0.2561296,0.2700268,0.5341421,0.3899278,0.7521881,5.386151,0.3948326,0.35597,12.00453,18.05738,
1641,13,362,0.4502763,2.948132,0.9319912,13.76281,8.2167,0,0.1478397,0.2435766,0.2720802,0.5267577,0.386565,0.7602168,5.228382,0.3966158,0.3427012,12.18651,19.17938,
1661,13,428,0.4299065,2.945263,0.9311906,13.84561,8.191186,0,0.1481461,0.2442829,0.2765686,0.5285507,0.3898925,0.7606455,5.199452,0.3989913,0.341591,12.11643,18.9805,
1681,13,417,0.4148681,2.937532,0.9294971,13.65456,8.23449,0,0.1469411,0.243648,0.2795957,0.530355,0.3916351,0.7607496,5.222361,0.3981632,0.3419191,11.95372,18.82052,
1701,13,343,0.4344023,2.92082,0.9291227,13.20631,8.215639,0,0.145073,0.2330162,0.2783543,0.5253395,0.3932862,0.7570918,5.302927,0.3973936,0.3451094,11.89573,19.09746,
1721,13,279,0.469534,2.905266,0.9299611,12.773,8.16322,0,0.1444146,0.2249082,0.2749752,0.5238708,0.3927985,0.7620245,5.342204,0.3990914,0.353451,11.93953,19.63305,
1741,13,217,0.5253456,2.913288,0.9295399,12.20514,8.055442,0,0.1430079,0.2152742,0.2720856,0.5160069,0.3947623,0.7554106,5.438345,0.4003623,0.3561862,11.81638,20.09393,
1761,13,174,0.5574713,2.903696,0.9311885,11.76895,8.008829,0,0.1429119,0.2100428,0.2681295,0.5060079,0.3935269,0.7413243,5.509716,0.401902,0.3615414,11.90397,20.18465,
1781,13,136,0.5808824,2.881147,0.9295756,11.4204,7.913514,0,0.1440557,0.2021178,0.2673728,0.516659,0.3892927,0.7378997,5.548392,0.4011214,0.3585698,11.9511,20.65904,
1801,13,110,0.6181818,2.872912,0.9329153,10.92222,7.941321,0,0.1439381,0.1957413,0.2666006,0.5169344,0.3869364,0.7455233,5.366671,0.3996951,0.35438,11.88567,20.71688,
1821,12,92,0.6521739,2.857622,0.9244802,11.00012,7.912231,0,0.1442464,0.2072505,0.2654922,0.5132018,0.3867537,0.7490872,5.450698,0.4037299,0.3593755,11.96922,20.63691,
1841,12,75,0.6533333,2.846262,0.924963,10.66514,7.849569,0,0.1457011,0.1901124,0.2647994,0.5077797,0.3875346,0.7374027,5.368065,0.4054696,0.3604288,11.93228,21.56281,
1861,12,69,0.6521739,2.834904,0.9274697,10.48834,7.872148,0,0.1460969,0.1945828,0.2626804,0.505125,0.3846689,0.7429157,5.293771,0.40665,0.3604791,12.03591,21.2676,
1881,12,64,0.6875,2.858297,0.9306659,10.32583,7.920212,0,0.1460376,0.2010971,0.2617134,0.5020383,0.3850296,0.749364,5.339347,0.4089159,0.3627579,12.16564,20.95374,
1901,12,61,0.6721311,2.855181,0.9320425,10.37207,7.884822,0,0.1463837,0.2050826,0.2652303,0.5056825,0.3839616,0.7527075,5.334567,0.4101498,0.3659865,12.18854,21.16144,
1921,12,56,0.6785714,2.842573,0.9361412,9.977385,7.88231,0,0.1461079,0.2041503,0.2590203,0.5038031,0.3760116,0.7536877,5.295758,0.4092585,0.3658779,12.02614,21.15333,
1941,12,57,0.6491228,2.841491,0.9363399,10.0426,7.90146,0,0.1458442,0.2070861,0.2606951,0.5023285,0.3812687,0.7552841,5.279005,0.4060288,0.368976,12.04719,21.28163,
